OBJECTID,FID_EJSCREEN_V4_AZ_2017,ID,FID_AZUTM_canopy_analysis_cities_20170914,NAME,County,AnalysisIm,AnalysisAr,TreeCityUSA,CityID,CanopyCover,CanopyCoverSE,CanopyCoverArea,CityAnalysisArea,CityPop2015,PopClass,PopClassLabel,PopDensityIndex,CanopyCoverIndex,TrafficProximityIndex,SustainabilityIndex,AirQualityIndex,HeatImpervIndex,MasterScore,MasterIndex,LowIncomeIndex,GIS_acres,Shape__Area,Shape__Length
1,15,040019442011,6,Chinle,Apache,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,6,0.0274999998509884,0.0082,0.0934101342280791,3.39673217215388,4518,B,"1,001 to 5,000",0.02711749,0.937050360248243,0.00194458970446337,0,0.121422766608978,0.29595618078467,0.335103086277398,0.69755227987662,0.962230215827,143.304586031733,579933.083984375,3321.30444978325
2,16,040019442012,6,Chinle,Apache,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,6,0.0274999998509884,0.0082,0.0934101342280791,3.39673217215388,4518,B,"1,001 to 5,000",0.001103569,0.937050360248243,0.00113624753228146,0,0.121422766608978,0.164436017586764,0.262158209641153,0.435024651766215,0.609958506224,429.119028521383,1736583.09765625,7909.48777271271
3,17,040019442013,6,Chinle,Apache,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,6,0.0274999998509884,0.0082,0.0934101342280791,3.39673217215388,4518,B,"1,001 to 5,000",0.0002309621,0.937050360248243,0.000338661673932197,0,0.121422766608978,0.0527382539792918,0.246727022241982,0.37948801624576,0.615308151093,936.65220749554,3790497.00170898,14138.0957821769
4,18,040019442021,6,Chinle,Apache,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,6,0.0274999998509884,0.0082,0.0934101342280791,3.39673217215388,4518,B,"1,001 to 5,000",0.0004496436,0.937050360248243,0.000402454244006781,0,0.113001649681702,0.0637623668810122,0.257825194960375,0.419430190315756,0.69010989011,370.375875666464,1498857.98852539,9246.95418066953
5,19,040019442022,6,Chinle,Apache,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,6,0.0274999998509884,0.0082,0.0934101342280791,3.39673217215388,4518,B,"1,001 to 5,000",0.0004853469,0.937050360248243,0.000443910860005489,0,0.113001649681702,0.0968615318366569,0.262149910330158,0.434994782657774,0.68720657277,294.456877942801,1191624.70556641,14498.2512653804
6,44,040019702002,92,St. Johns,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,93,0.068000003695488,0.0125,0.146521554814098,2.15472863016653,3494,B,"1,001 to 5,000",3.935645E-05,0.791366893181698,0.000283083540950673,0,0.517193630726429,,,,0.36529318542,6.08201759803324E-07,0.00244140625,0.482074111990158
7,45,040019702003,92,St. Johns,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,93,0.068000003695488,0.0125,0.146521554814098,2.15472863016653,3494,B,"1,001 to 5,000",0.003929396,0.791366893181698,0.00215396425133326,0,0.517193630726429,0.247990086363163,0.273513702896558,0.475892918981625,0.351961950059,336.163534728335,1360405.55981445,13137.3724599334
8,46,040019703001,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",7.068094E-05,0.971223024370001,0.00215763083310572,0,0.531319867730032,0.0235988931798339,0.304117124595595,0.586034221307422,0.600449775112,3628.36594247754,14683476.0180664,27724.7892748153
9,46,040019703001,92,St. Johns,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,93,0.068000003695488,0.0125,0.146521554814098,2.15472863016653,3494,B,"1,001 to 5,000",7.068094E-05,0.791366893181698,0.00215763083310572,0,0.531319867730032,0.0235988931798339,0.278423391568694,0.493562822356524,0.600449775112,0.0441733902086284,178.76416015625,2160.9305174281
10,47,040019703002,92,St. Johns,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,93,0.068000003695488,0.0125,0.146521554814098,2.15472863016653,3494,B,"1,001 to 5,000",0.03192757,0.791366893181698,0.00342208870940092,0,0.531319867730032,0.332175413401659,0.333832624478735,0.692979904982203,0.646616541353,399.697453945182,1617518.20825195,6520.5498866137
11,48,040019703003,92,St. Johns,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,93,0.068000003695488,0.0125,0.146521554814098,2.15472863016653,3494,B,"1,001 to 5,000",0.009323981,0.791366893181698,0.00205033635828108,0,0.531319867730032,0.127712779729129,0.264007436163912,0.441679993104026,0.386278195489,643.121143052089,2602618.92700195,9230.99695620301
12,49,040019705011,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",0.01525326,0.647482004311445,6.21995643189616E-05,1,0.411306153096495,0.117759449354451,0.386594927905537,0.882870724064038,0.514301430143,605.583571349242,2450709.76391602,14697.2968108596
13,49,040019705011,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",0.01525326,0.971223024370001,6.21995643189616E-05,0,0.411306153096495,0.117759449354451,0.289986502199617,0.53517830170886,0.514301430143,292.534693433484,1183845.90527344,7546.88543719802
14,50,040019705012,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",0.03903074,0.647482004311445,0.000197636459146945,1,0.411306153096495,0.23704769069955,0.387814549300549,0.887260125030767,0.379637618637,340.590153241289,1378319.44824219,4859.28043007384
15,50,040019705012,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",0.03903074,0.971223024370001,0.000197636459146945,0,0.411306153096495,0.23704769069955,0.291206123594628,0.539567702675589,0.379637618637,25.0627245940626,101425.248779297,2571.4862456997
16,51,040019705013,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",0.01227097,0.647482004311445,0.0024189571091938,1,0.411306153096495,0.0912404858181197,0.345293573506668,0.734227706101967,0.252336448598,627.246649118529,2538377.13183594,10250.6442558066
17,51,040019705013,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",0.01227097,0.971223024370001,0.0024189571091938,0,0.411306153096495,0.0912404858181197,0.248685147800748,0.386535283746789,0.252336448598,614.053449925065,2484986.14648438,7570.94363214134
18,52,040019705014,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",0.01392038,0.647482004311445,4.71173346705863E-05,1,0.411306153096495,0.115521922552693,0.419139689503311,1,0.7457002457,680.034310102184,2752001.21630859,10604.4672073417
19,53,040019705021,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",3.068472E-05,0.647482004311445,0.000292174933940599,1,0.35962224020359,0.0395170371778445,0.344097032918035,0.729921372646388,0.361735089078,29.652010850761,119997.430175781,9721.26545788159
20,53,040019705021,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",3.068472E-05,0.971223024370001,0.000292174933940599,0,0.35962224020359,0.0395170371778445,0.247488607212114,0.382228950291209,0.361735089078,353.517446194585,1430634.34765625,9936.59845327549
21,54,040019705022,10,Eagar,Apache,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,1,10,0.108000002801418,0.0155,0.465211205290029,4.30751104836008,4932,B,"1,001 to 5,000",0.0005845744,0.647482004311445,0.000179871095623417,1,0.35962224020359,0.020162059515335,0.311876848196866,0.613961361989183,0.155107187894,473.70038714062,1916997.45263672,10511.2068301352
22,54,040019705022,70,Springerville,Apache,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,71,0.0179999992251396,0.0066,0.211870543354743,11.770586248628,1978,B,"1,001 to 5,000",0.0005845744,0.971223024370001,0.000179871095623417,0,0.35962224020359,0.020162059515335,0.215268422490946,0.266268939634004,0.155107187894,2619.64094430547,10601310.7758789,20502.2325274802
23,59,040030002012,43,Willcox,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,44,0.0299999993294477,0.0085,0.0508850973394792,1.69616994922832,3636,B,"1,001 to 5,000",0.0001522102,0.928057556368893,0.000216171532617641,0,0.370689574635923,0.331260246896265,0.298170563059751,0.564632626467492,0.456818181818,0.0385891837543756,156.1650390625,1909.73922190157
24,60,040030002021,43,Willcox,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,44,0.0299999993294477,0.0085,0.0508850973394792,1.69616994922832,3636,B,"1,001 to 5,000",0.03623816,0.928057556368893,0.000274941665427717,0,0.406753615879682,0.414882080444291,0.312572207827521,0.61646395193021,0.40179910045,213.305047576729,863214.901367188,6583.46222911511
25,61,040030002022,43,Willcox,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,44,0.0299999993294477,0.0085,0.0508850973394792,1.69616994922832,3636,B,"1,001 to 5,000",0.04024285,0.928057556368893,0.000483844698512525,0,0.406753615879682,0.431738377614967,0.324644004774506,0.659910186479709,0.465231788079,187.893213553317,760376.857543945,4281.98120271351
26,62,040030002023,43,Willcox,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,44,0.0299999993294477,0.0085,0.0508850973394792,1.69616994922832,3636,B,"1,001 to 5,000",0.0009901145,0.928057556368893,0.000705374695088013,0,0.406753615879682,0.273326038470509,0.299631824570886,0.569891686956143,0.487590072058,368.200881836646,1490056.10327148,9827.94211660831
27,63,040030002024,43,Willcox,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,44,0.0299999993294477,0.0085,0.0508850973394792,1.69616994922832,3636,B,"1,001 to 5,000",0.0006012539,0.928057556368893,0.000690718679728498,0,0.406753615879682,0.160849079870423,0.250949528823493,0.394684760536007,0.259694477086,316.111032624501,1279255.96289063,10384.4016402516
28,67,040030003011,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.01765271,0.874100712992305,0.008148187285705,0,0.379045635728669,0.137466145897454,0.239004313389263,0.351694091145281,0.256616800921,560.286401468201,2267398.62231445,8357.04656640629
29,68,040030003012,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.008075937,0.874100712992305,0.00330970806445461,0,0.379045635728669,0.21119152635732,0.306631504663167,0.595083441290335,0.670697012802,184.378385205067,746152.852294922,8504.54106484232
30,69,040030003013,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.01405262,0.874100712992305,0.010360357274677,0,0.379045635728669,0.365313613522946,0.326692082086784,0.667281189129563,0.643971631206,331.681689420912,1342268.17443848,9858.7614085032
31,70,040030003014,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.007124122,0.874100712992305,0.0162180344725864,0,0.379045635728669,0.206541837924306,0.303698212248772,0.584526561415884,0.642857142857,413.957113700471,1675225.00354004,7748.22427752034
32,73,040030003023,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.001635548,0.874100712992305,0.00154838536129144,0,0.360152296973913,0.34624958924587,0.253089574073174,0.402386754553344,0.187940485513,78.5432520632142,317853.263916016,3622.93546438386
33,77,040030003033,83,Benson,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,84,0.0450000017881393,0.0104,0.112098652797714,2.49108107429586,4999,B,"1,001 to 5,000",0.0009218379,0.874100712992305,0.0042621265398824,0,0.338168033094963,0.151592161461156,0.255370465579201,0.410595652349422,0.418548387097,25.4450506434439,102972.466308594,7482.63117020203
34,78,040030004001,75,Tombstone,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,76,0.00999999977648258,0.005,0.0622725207364719,6.22725221283712,1333,B,"1,001 to 5,000",4.574553E-05,1.00000000080402,0.00139202770255823,0,0.308315313165402,0.0148865499611973,0.259481516917408,0.425391270720834,0.491730981257,2498.40632524827,10110691.6831055,25299.6472469599
35,79,040030004002,75,Tombstone,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,76,0.00999999977648258,0.005,0.0622725207364719,6.22725221283712,1333,B,"1,001 to 5,000",0.002870149,1.00000000080402,0.00604757307764675,0,0.308315313165402,0.0640079349034021,0.27329310544518,0.475098991726577,0.531810766721,1487.03506225611,6017817.39208984,11563.4898455698
36,84,040030006001,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.00014721,0.88129495877585,0.00191432584104764,0,0.152115805341909,0.52913449744968,0.30895936349508,0.45341726999202,0.598108747045,165.903251462164,671386.640625,10170.8476229393
37,85,040030006002,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.02798862,0.88129495877585,0.00167155573201125,0,0.152115805341909,0.297646916328275,0.300147902903249,0.430210467149115,0.740317460317,31.62186917913,127969.164550781,3534.9396792513
38,86,040030007001,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.01955889,0.88129495877585,4.0532105096195E-05,0,0.145216922806203,0.121028978278216,0.260544770839534,0.325907432687812,0.65667311412,195.166815550909,789812.080810547,5667.94430441179
39,88,040030007003,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.03133785,0.88129495877585,7.60771239424367E-05,0,0.145216922806203,0.2907722702114,0.265293043485072,0.338412990192266,0.508353221957,164.655492795586,666337.138427734,3268.19932610353
40,89,040030007004,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.01230207,0.88129495877585,1.04971530113223E-05,0,0.145216922806203,0.218871638513953,0.242720206928786,0.278962759199631,0.441345365053,239.761576854352,970280.677246094,5677.91111560773
41,90,040030008001,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.003430551,0.88129495877585,0.000155225573820615,0,0.155539477002386,0.217971446643773,0.254196722977068,0.309188536467798,0.52098540146,127.265048508315,515023.37890625,3866.89253028377
42,91,040030008002,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.07015411,0.88129495877585,0.000210298442224364,0,0.155539477002386,0.354985039486229,0.317740274707111,0.476543614728508,0.761998041136,189.759722173002,767930.350830078,3809.6171906852
43,92,040030008003,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.02316949,0.88129495877585,0.000214239383982088,0,0.155539477002386,0.322438686510369,0.272586564188673,0.357621984573518,0.525449101796,161.163703258979,652206.368408203,5787.27996721494
44,93,040030008004,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.03506172,0.88129495877585,0.000248761722395657,0,0.155539477002386,0.256876978231702,0.2823223684059,0.383263237420495,0.647234678625,237.435072859027,960865.649902344,4469.13111988267
45,94,040030009011,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.06881998,0.88129495877585,0.0119054332733631,0,0.154607868209082,0.553419591231161,0.35952908963916,0.586603096815479,0.846655791191,109.692614206115,443910.260009766,2718.79391190743
46,95,040030009012,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.07410167,0.88129495877585,0.000486178260263304,0,0.154607868209082,0.443401208747967,0.314232082111523,0.467304064366536,0.645732689211,103.203648728498,417650.348632813,2599.61665765631
47,96,040030009013,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.0433034,0.88129495877585,0.00662124085175494,0,0.154607868209082,0.434316783368128,0.318904160243945,0.479608947870899,0.71218487395,134.869414215394,545797.154785156,3027.04416231115
48,97,040030009014,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.05542173,0.88129495877585,0.000410563855556172,0,0.154607868209082,0.215203665639659,0.29770057860042,0.423764932723069,0.776965265082,120.852418528842,489072.385498047,3120.52534506315
49,98,040030009021,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.01382342,0.88129495877585,0.0047629292817508,0,0.160455570821354,0.225058560247884,0.286349008682592,0.393868226916463,0.719047619048,335.203984750561,1356522.3972168,6890.53306539801
50,99,040030009022,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.0951395,0.88129495877585,0.00117766008729848,0,0.160455570821354,0.380528342188104,0.322571075944373,0.489266528338349,0.739401496259,103.81137765417,420109.739746094,2858.26084026248
51,100,040030009023,51,Douglas,Cochise,Google Imagery - Spring 2015,ASLD incorporated area x Census Urbanized Area intersection,0,52,0.0430000014603138,0.0101,0.170238766327053,3.95904094292119,16956,D,"10,001 to 50,000",0.03398486,0.88129495877585,0.00242510771156084,0,0.160455570821354,0.548783403484237,0.309097873874139,0.453782065706081,0.536741214058,113.420170169913,458995.144287109,3395.39441039023
52,101,040030010001,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.0001235748,0.784172660798478,0.00212270088674608,0,0.222068920352822,0.0472205115536368,0.231391580855607,0.25769946284747,0.564032697548,447.864312420055,1812442.56860352,13164.839451521
53,102,040030010002,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.001799036,0.784172660798478,0.00428350701903608,0,0.222068920352822,0.338366706006968,0.260011226409123,0.341410785524731,0.469387755102,157.246330007766,636353.322509766,17061.339893224
54,103,040030011001,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.00548705,0.784172660798478,0.00384848169190978,0,0.177128757814647,0.192484993511261,0.216363983881965,0.213744340588107,0.351425942962,350.937837499211,1420195.04040527,15435.3208830851
55,104,040030011002,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.000757599,0.784172660798478,7.66884489804551E-05,0,0.177128757814647,0.205302237120738,0.258568052371499,0.337189558978894,0.642538423401,129.125017466558,522550.40637207,3424.81938786971
56,105,040030011003,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.005593907,0.784172660798478,0.000345577944046774,0,0.177128757814647,0.128858823577057,0.227146693180373,0.245283335567143,0.493927125506,219.501843272201,888292.444091797,12258.7834439945
57,106,040030012001,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.0001993216,0.784172660798478,0.000144261680155131,0,0.196183733944055,0.102978766565355,0.207291823050337,0.187208631704628,0.367364016736,244.939206971199,991233.802856445,6938.06373719273
58,107,040030012002,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.0118249,0.784172660798478,0.000235742418667532,0,0.196183733944055,0.108277870546896,0.214170164217975,0.207327505500316,0.398496240602,277.841117913298,1124383.11242676,7651.82004598088
59,108,040030012003,37,Bisbee,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,38,0.0700000002980232,0.0128,0.218255096248783,3.11792993313668,5297,C,"5,001 to 10,000",0.001619118,0.784172660798478,8.03798444449586E-05,0,0.196183733944055,0.0467006584099106,0.236065310675838,0.271369936311444,0.623700623701,168.019476660043,679950.697631836,8122.91422312036
60,110,040030013002,60,Huachuca City,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,61,0.00999999977648258,0.005,0.0269765768794055,2.69765774823789,1794,B,"1,001 to 5,000",0.01872935,1.00000000080402,0.00807009057202945,0,0.291141666390279,0.0989021834098244,0.303032751078441,0.58213157563069,0.704385964912,389.033325936173,1574362.01367188,6561.14466759267
61,111,040030013003,60,Huachuca City,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,61,0.00999999977648258,0.005,0.0269765768794055,2.69765774823789,1794,B,"1,001 to 5,000",0.001585656,1.00000000080402,0.0124872523070119,0,0.291141666390279,0.0464734481605907,0.241500115639669,0.360676449814539,0.338812785388,1324.86931935298,5361555.91381836,11825.8271565563
62,112,040030013004,60,Huachuca City,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,61,0.00999999977648258,0.005,0.0269765768794055,2.69765774823789,1794,B,"1,001 to 5,000",0.000404218,1.00000000080402,0.00610261941030737,0,0.291141666390279,0,0.204269698117507,0.226684678817469,0.132239382239,1.82051211760867,7367.3515625,563.84163047442
63,113,040030013005,60,Huachuca City,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,61,0.00999999977648258,0.005,0.0269765768794055,2.69765774823789,1794,B,"1,001 to 5,000",0.0001926644,1.00000000080402,0.00453372392431505,0,0.291141666390279,0,0.221973466535363,0.290400302802039,0.257946210269,0.514189952255596,2080.85290527344,286.805840964243
64,114,040030014011,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0.02045687,0.919064752489543,0.000179275821438722,0,0.260047303372316,0.168583863617854,0.236677032235382,0.263046809489198,0.288407163054,1613.1828123107,6528319.22570801,16738.3824368566
65,115,040030014012,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0.005295553,0.919064752489543,0.000203257386460646,0,0.260047303372316,0.0800720600030339,0.278052086882572,0.372016568339611,0.681681681682,1258.13989154359,5091511.49963379,12636.0365861657
66,116,040030014013,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0.0001013473,0.919064752489543,0.0005574892488405,0,0.260047303372316,0.0669117900350436,0.261034033999366,0.327196008352449,0.580555555556,2443.11666763282,9886942.37731934,27641.6810108639
67,116,040030014013,60,Huachuca City,Cochise,Google Imagery - Spring 2015,ASLD Incorporated Areas 2013,0,61,0.00999999977648258,0.005,0.0269765768794055,2.69765774823789,1794,B,"1,001 to 5,000",0.0001013473,1.00000000080402,0.0005574892488405,0,0.260047303372316,0.0669117900350436,0.272596212330006,0.472590882795426,0.580555555556,10.2636125031899,41535.3666992188,5418.60062201752
68,117,040030014021,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0,0.919064752489543,0,0,0.203862488431106,0.239024352329375,0.194564513321432,0.152134786054607,0,6.29412779297255,25471.4318847656,8747.24190772904
69,119,040030014023,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0.001220545,0.919064752489543,0,0,0.203862488431106,0.14553973377196,0.195828375767277,0.155463429052622,0.101111111111,318.147694871443,1287498.04101563,9140.20465686158
70,120,040030015011,40,Sierra Vista,Cochise,Google Imagery - Spring 2015,Census Urbanized Area 2010,0,41,0.0324999988079071,0.0089,0.984050018854202,30.2784632291982,44183,D,"10,001 to 50,000",0.05839434,0.919064752489543,5.99818183760219E-05,0,0.238132028278068,0.547140988694991,0.350234857138472,0.562124814359158,0.688851913478,253.492558057757,1025847.98657227,4209.65925472195
